SMILES,ID,Database
c1cc(c(cc1[C@@H]2[C@H](Cc3c(cc(c(c3O2)[C@@H]4c5c(cc(cc5O[C@@H]([C@@H]4O)c6ccc(c(c6)O)O)O)O)O)O)O)O)O,ABD_UD_011,AfroDb
c1cc(c(cc1[C@@H]2[C@H](Cc3c(cc(c(c3O)[C@@H]4c5ccc(cc5O[C@@H]([C@@H]4O)c6ccc(c(c6)O)O)O)O)O2)O)O)O,ABD_UD_012,AfroDb
c1cc(c(c(c1)O)C(=O)c2cc(ccc2O)O)O,ABD_UD_013,AfroDb
CC(C)[C@@]([C@@H]1[C@@H]2[C@@H]([C@H](O1)O)[C@@]34C[C@@]35CCC6=C(C5=C[C@H]4O2)CC[C@H]7[C@@]6(CC[C@H](C7)O)C)(C(=O)C)O,ABD_UD_014,AfroDb
CC(C)[C@@]([C@@H]1[C@@H]2[C@@H]([C@H](O1)O)[C@@]34C[C@@]35CCC6=C(C5=C[C@H]4O2)CC[C@H]7[C@@]6(CC[C@@H](C7)[C@@]8([C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)C)(C(=O)C)O,ABD_UD_015,AfroDb
COc1cc(ccc1O)CC=C,ABD_UD_016,AfroDb
Cn1c2ccccc2c(=O)c3c1c(c(c(c3O)OC)OC)OC,AN_UY_001,AfroDb
Cn1c2ccccc2c(=O)c3c1cccc3O,AN_UY_002,AfroDb
C[C@@H]1C[C@H]2C[C@]23CC[C@]4(C(=CC[C@H]5[C@]4(CC[C@H]6[C@@]5(CC[C@H](C6)O)C)C)[C@H]3[C@@H]1C)C,AN_UY_003,AfroDb
CC(=CCC/C(=C\C=O)/C)C,AN_UY_004,AfroDb
CC(=CCC/C(=C/C=O)/C)C,AN_UY_005,AfroDb
CC(=CCCC(=C)C=C)C,AN_UY_006,AfroDb
C/C/1=C/[C@H]2[C@H]([C@@H](C[C@@](/C=C/C1=O)(C)O)OC(=O)C(C)C)C(=C)C(=O)O2,AN_UY_007,AfroDb
Cc1cc2ccc(c(c2cc1OC)O)c3ccc4c(c3O)[C@H](N[C@@H](C4)C)C,AN_UY_008,AfroDb
CC1=C(C(=O)C(=C2C1=CC=C3[C@@]24C[C@@H]4C[C@@]56[C@]37C[C@H]7C[C@@]8([C@@]5(C6)CC(=C)CC8)C(=O)OC)C)O,AN_UY_009,AfroDb
C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)Oc2ccc(cc2O)c3c(c(=O)c4c(cc(cc4o3)O)O)O[C@@H]5[C@H]([C@@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O,AN_UY_010,AfroDb
COc1cc(ccc1O)/C=C\C(=O)O[C@H]2[C@@H](O[C@@H]([C@H]([C@@H]2O)O)CO)c3c(c4c(=O)cc(oc4c(c3O)[C@@H]5[C@H]([C@@H]([C@H]([C@@H](O5)CO)O)O)O)c6ccc(cc6)O)O,AN_UY_011,AfroDb
c1cc(ccc1c2cc(=O)c3c(cc(c(c3o2)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,AN_UY_012,AfroDb
c1cc2c3cc(c(cc3c(=O)[nH]c2c4c1cc5c(c4)OCO5)O)O,AN_UY_012B,AfroDb
C[C@@H]1[C@H]([C@@H]([C@@H](O[C@H]1O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3CC[C@@]4([C@H]5CC[C@H]6[C@@H]([C@@H]5CC=C4C3)C[C@@H]7[C@@H]6[C@@H]([C@](O7)(CC[C@@H](C)CO[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O)OC)C)C)CO)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)C)O[C@@H]1[C@H]([C@H]([C@H]([C@@H](O1)C)O)O)O)O)O)O)O)O)O,AN_UY_012C,AfroDb
C[C@@H]1[C@H]([C@@H]([C@@H](O[C@H]1O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3CC[C@@]4([C@H]5CC[C@H]6[C@@H]([C@@H]5CC=C4C3)C[C@H]([C@@H]6C(=O)C)OC(=O)CC[C@@H](C)CO[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O)O)C)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)C)O[C@@H]9[C@H]([C@H]([C@H]([C@@H](O9)C)O)O)O)O)O)O)O)O)O,AN_UY_012D,AfroDb
C[C@]12C[C@H]([C@H]3C(=CC(=O)[C@]4([C@@]3(C[C@@H]([C@@H](C4)O)O)C)O)[C@@]1(CC[C@@H]2[C@](C)([C@H](CCC(C)(C)O)O)O)O)O,AN_UY_012F,AfroDb
CC(C)CC[C@@H]([C@@](C)([C@H]1CC[C@@]2([C@@]1(C[C@H]([C@H]3C2=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)O)C)O)O)O,AN_UY_013_1,AfroDb
C[C@]12CC=C3C(=CC(=O)[C@]4([C@@]3(C[C@@H]([C@@H](C4)O)O)C)O)[C@@]1(CC[C@@H]2[C@](C)([C@H](CCC(C)(C)O)O)O)O,AN_UY_014,AfroDb
CN(C=O)c1c(ccc2c1cc3c(c2)OCO3)c4cc(c(cc4OC)O)OC,AN_UY_014_1,AfroDb
CCCc1cc(=O)oc2c1c(c(c(c2C(=O)[C@@H](C)CC)O)CC=C(C)C)O,AN_UY_015,AfroDb
