"""Molecule ChEMBL ID",Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value
"""CHEMBL1605668",,0,418.51,1,5.58,COc1ccc(C(=O)/C=C/c2ccc(-c3ccccc3)cc2)cc1CSCC(=O)O,IC50,'=',9800,nM,5.01
"""CHEMBL2005181",,0,416.46,0,4.03,Cc1cc(C)c2nc3sc(=Cc4ccc(-c5ccccc5C(=O)O)o4)c(=O)n3c2c1,IC50,'=',4450,nM,5.35
"""CHEMBL1707222",,0,282.09,0,2.02,COC1=C(Br)C(=O)c2nc(C)ccc2C1=O,IC50,'=',8730,nM,5.06
"""CHEMBL374740",,0,216.02,0,2.13,O=C1Nc2c(Cl)cc(Cl)cc2C1=O,IC50,'=',11800,nM,4.93
"""CHEMBL1421559",,0,350.76,0,4.52,Cc1oc2c(c1C(=O)c1ccc(Cl)cc1)C(=O)C(=O)c1ccccc1-2,IC50,'=',6050,nM,5.22
"""CHEMBL1981657",,0,333.26,0,0.78,N/C(=N\N=C/c1ccc(-c2ccc(O)c(C(=O)O)c2)o1)N[N+](=O)[O-],IC50,'=',3940,nM,5.41
"""CHEMBL1464373",,0,420.47,0,2.62,O=C(COC(=O)c1ccc(NS(=O)(=O)c2cccs2)cc1)NCc1ccco1,IC50,'=',9600,nM,5.02
"""CHEMBL1509377",,0,496.95,0,2.88,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)COc2ccc(Cl)cc2)C3)c1,IC50,'=',5520,nM,5.26
"""CHEMBL3126646",,0,461.53,1,5.65,Cc1cc(Nc2cccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)c2)nc(N)n1,IC50,'=',120,nM,6.92
"""CHEMBL1569215",,0,408.8,0,3.76,O=C1NN(c2ccc(Cl)cc2)C(=O)/C1=C\c1ccc(-c2cccc(C(=O)O)c2)o1,IC50,'=',7390,nM,5.13
"""CHEMBL1607517",BENZANTHRONE,0,230.27,0,4.05,O=C1c2ccccc2-c2cccc3cccc1c23,IC50,'=',41000,nM,4.39
"""CHEMBL617",CEPHALOTHIN,4,396.45,0,0.59,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,IC50,'=',7280,nM,5.14
"""CHEMBL1312212",,0,476.55,1,5.02,COc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(C(=O)O)cc2)N3)c1,IC50,'=',7940,nM,5.1
"""CHEMBL1181670",,0,220.28,0,2.93,c1ccc2c(c1)C1=NCCN1c1ccccc1-2,IC50,'=',9240,nM,5.03
"""CHEMBL1445488",,0,498.54,0,3.51,CCOC(=O)c1sc2nc3c(SCC(=O)O)cc(C(=O)c4ccccc4O)cn3c(=O)c2c1C,IC50,'=',4120,nM,5.38
"""CHEMBL1507881",,0,487.47,0,3.5,Cc1c(C(=O)O)cccc1-n1c(C)cc(/C=C2\C(=O)NC(=O)N(c3ccc4c(c3)OCO4)C2=O)c1C,IC50,'=',18000,nM,4.75
"""CHEMBL592316",,0,462.03,0,4.33,CCN(CC)CCOc1ccc2c(c1)C(=NO)c1cc(OCCN(CC)CC)ccc1-2.Cl,IC50,'>',99000,nM,
"""CHEMBL2336409",,0,461.53,1,5.65,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,IC50,'=',6000,nM,5.22
"""CHEMBL564052",,0,352.42,0,-0.88,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CCNC2)[C@@H](O)[C@H]1O,IC50,'=',4800,nM,5.32
"""CHEMBL539449",,0,338.39,0,-1.27,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSC2CNC2)[C@@H](O)[C@H]1O,IC50,'=',44000,nM,4.36
"""CHEMBL560768",,0,567.12,1,3.52,O[C@@H]1[C@@H](CS[C@H]2CCNC2)O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)[C@@H]1O,IC50,'=',5000,nM,5.3
"""CHEMBL2063048",,0,194.19,0,0,O=C1N=C(NCc2ccco2)NCN1,IC50,'=',22000,nM,4.66
"""CHEMBL2204998",,0,513.65,1,3.67,Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(N4CCN(C)CC4)nc3)cc3c2cnn3C(C)C)c(=O)[nH]1,IC50,'>',100000,nM,
"""CHEMBL1975589",,0,441.44,0,0.96,COC(=O)CC1OCC=C2CN3CCC45C6=CC(=O)C(O)=C([N+](=O)[O-])C6=NC4C1C2CC35,IC50,'=',6060,nM,5.22
"""CHEMBL494668",,0,434.54,0,4.11,CCN(CC)CCCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12,IC50,'>',99000,nM,
"""CHEMBL1348946",,0,493.39,0,4.68,N#Cc1c(SCC(=O)Nc2nc3ccc(Br)cc3s2)sc2c(O)cc(O)nc12,IC50,'=',8280,nM,5.08
"""CHEMBL1328733",,0,298.32,0,2.11,O=C1NC(=S)N(c2ccccc2)C(=O)/C1=C/c1ccco1,IC50,'=',811,nM,6.09
"""CHEMBL1456035",,0,318.59,0,4.19,O=C(O)C1Nc2c(Cl)cc(Cl)c(Cl)c2C2C=CCC12,IC50,'=',4360,nM,5.36
"""CHEMBL1346055",,0,407.81,0,3.93,O=C(O)c1ccc(-n2cccc2/C=C2/NC(=O)N(c3cccc(Cl)c3)C2=O)cc1,IC50,'=',4620,nM,5.33
"""CHEMBL2385821",,0,461.53,1,5.65,Cc1cc(Nc2cccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)c2)nc(N)n1,IC50,'=',52000,nM,4.28
"""CHEMBL2385821",,0,461.53,1,5.65,Cc1cc(Nc2cccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)c2)nc(N)n1,IC50,'=',370,nM,6.43
"""CHEMBL2336409",,0,461.53,1,5.65,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,IC50,'=',35000,nM,4.46
"""CHEMBL1990599",,0,446.42,0,2.69,O=C(CNC(=O)c1ccc([N+](=O)[O-])cc1)N/N=C\c1ccc(OC(=O)c2ccccc2)cc1,IC50,'>',99000,nM,
