ID,SMILES_no_chiral,SMILES_chiral,NPL_score
FQNP392,COc1cc(C)c2c(=O)c3c(O)cc(OC)cc3oc2c1,COc1cc(C)c2c(=O)c3c(O)cc(OC)cc3oc2c1,0.878
FQNP220,COc1cc(O)c2c(c1)OC(c1ccccc1)C(=O)C2O,COc1cc(O)c2c(c1)OC(c1ccccc1)C(=O)C2O,1.106
FQNP221,COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O,COc1cc(O)c2c(c1)OC(c1ccccc1)CC2=O,1.329
FQNP244,COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,0.892
FQNP164,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,1.145
FQNP371,COc1cc(O)c2c(c1)CCc1cc(O)ccc1-2,COc1cc(O)c2c(c1)CCc1cc(O)ccc1-2,1.322
FQNP558,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1,COc1ccc([C@H]2COc3cc(O)ccc3C2)c(O)c1,1.285
FQNP249,COc1c2occc2cc2ccc(=O)oc12,COc1c2occc2cc2ccc(=O)oc12,1.258
FQNP107,COc1c2c(cc3ccoc13)C(=O)C1(O)c3cc4c(cc3OCC1O2)OCO4,COc1c2c(cc3ccoc13)C(=O)[C@@]1(O)c3cc4c(cc3OC[C@@H]1O2)OCO4,2.123
FQNP28,COC1=CC(=O)c2c(O)cc(OC)c3c2=C1CC1(C=3)C(OC)=CC(=O)c2c(O)cc(OC)cc21,COC1=CC(=O)c2c(O)cc(OC)c3c2=C1CC1(C=3)C(OC)=CC(=O)c2c(O)cc(OC)cc21,1.483
FQNP254,COc1c2ccoc2cc2oc(=O)ccc12,COc1c2ccoc2cc2oc(=O)ccc12,1.039
FQNP641,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1,1.183
FQNP300,COc1cc(OC)c2c(O)c3c(c(OC)c2c1)OC(C)C(C)C3=O,COc1cc(OC)c2c(O)c3c(c(OC)c2c1)O[C@@H](C)C(C)C3=O,1.851
FQNP296,COc1cc(OC)c2c(O)c3c(c(OC)c2c1)OC(C)C(C)C3=O,COc1cc(OC)c2c(O)c3c(c(OC)c2c1)O[C@@H](C)C(C)C3=O,1.851
FQNP298,COc1cc(OC)c2c(O)c3c(c(OC)c2c1)OC(C)CC3=O,COc1cc(OC)c2c(O)c3c(c(OC)c2c1)O[C@@H](C)CC3=O,1.661
FQNP341,COc1cc(OC)c2c(O)c3c(=O)cc(C)oc3c(OC)c2c1,COc1cc(OC)c2c(O)c3c(=O)cc(C)oc3c(OC)c2c1,1.48
FQNP340,COc1cc(OC)c2c(O)c3c(=O)c(C)c(C)oc3c(OC)c2c1,COc1cc(OC)c2c(O)c3c(=O)c(C)c(C)oc3c(OC)c2c1,1.303
FQNP299,COc1cc(OC)c2c(O)c3c(cc2c1)OC(C)C(C)C3=O,COc1cc(OC)c2c(O)c3c(cc2c1)O[C@@H](C)C(C)C3=O,1.741
FQNP295,COc1cc(OC)c2c(O)c3c(cc2c1)OC(C)C(C)C3=O,COc1cc(OC)c2c(O)c3c(cc2c1)O[C@@H](C)C(C)C3=O,1.741
FQNP297,COc1cc(OC)c2c(O)c3c(cc2c1)OC(C)CC3=O,COc1cc(OC)c2c(O)c3c(cc2c1)O[C@@H](C)CC3=O,1.513
FQNP302,COc1cc(OC)c2c(O)c3c(=O)cc(C)oc3cc2c1,COc1cc(OC)c2c(O)c3c(=O)cc(C)oc3cc2c1,1.441
FQNP301,COc1cc(OC)c2c(O)c3c(=O)c(C)c(C)oc3cc2c1,COc1cc(OC)c2c(O)c3c(=O)c(C)c(C)oc3cc2c1,1.221
FQNP188,COc1cc(C)c2c(OC)cc(O)c3c2c1C(=O)OC3OC,COc1cc(C)c2c(OC)cc(O)c3c2c1C(=O)OC3OC,1.495
FQNP27,COC1=C2C3=c4c(c(O)cc(OC)c4=CC2(C)C(=O)C(=O)C1)C(=O)CC3OC,COC1=C2C3=c4c(c(O)cc(OC)c4=C[C@]2(C)C(=O)C(=O)C1)C(=O)CC3OC,1.561
FQNP621,COc1c2c(cc3c1OCO3)C(c1ccc3c(c1)OCO3)C1C(=O)OCC1C2,COc1c2c(cc3c1OCO3)C(c1ccc3c(c1)OCO3)C1C(=O)OCC1C2,1.596
