ID,SMILES,NEW_SMILES
DB01004,NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1,N=c1[nH]c(=O)c2ncn(COC(CO)CO)c2[nH]1
DB01005,NC(=O)NO,NC(O)=NO
DB01006,N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
DB01007,ClC1=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=CS1,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
DB01008,CS(=O)(=O)OCCCCOS(C)(=O)=O,CS(=O)(=O)OCCCCOS(C)(=O)=O
DB01009,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
DB01010,CC[N+](C)(C)C1=CC(O)=CC=C1,CC[N+](C)(C)c1cccc(O)c1
DB01011,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1,CC(C)(C(=O)c1cccnc1)c1cccnc1
DB01012,C[C@@H](NCCCC1=CC(=CC=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
DB01013,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C
DB01014,OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O,O=C(O)CCNC(=O)c1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1
DB01015,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1
DB01016,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
DB01017,[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)C(=O)C3(O)C(=O)C1C2=O
DB01018,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl
DB01019,CC(C[N+](C)(C)C)OC(N)=O,CC(C[N+](C)(C)C)OC(N)=O
DB01020,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O,O=[N+]([O-])OC1COC2C(O)COC12
